,forecast_date,target,target_end_date,location,location_name,type,quantile,value,Unnamed: 0
4802,2020-05-09,1 day ahead inc death,2020-05-10,6,California,point,,121.499328834231,
4803,2020-05-09,2 day ahead inc death,2020-05-11,6,California,point,,122.46398209555159,
4804,2020-05-09,3 day ahead inc death,2020-05-12,6,California,point,,123.43283044899066,
4805,2020-05-09,4 day ahead inc death,2020-05-13,6,California,point,,124.37678748541988,
4806,2020-05-09,5 day ahead inc death,2020-05-14,6,California,point,,125.29965646636688,
4807,2020-05-09,6 day ahead inc death,2020-05-15,6,California,point,,126.20571512717598,
4808,2020-05-09,7 day ahead inc death,2020-05-16,6,California,point,,127.09496346784607,
4809,2020-05-09,8 day ahead inc death,2020-05-17,6,California,point,,127.98699259355585,
4810,2020-05-09,9 day ahead inc death,2020-05-18,6,California,point,,128.85919537672834,
4811,2020-05-09,10 day ahead inc death,2020-05-19,6,California,point,,129.71334607812852,
4812,2020-05-09,11 day ahead inc death,2020-05-20,6,California,point,,130.5528044140033,
4813,2020-05-09,12 day ahead inc death,2020-05-21,6,California,point,,131.37763962777854,
4814,2020-05-09,13 day ahead inc death,2020-05-22,6,California,point,,132.19053222762605,
4815,2020-05-09,14 day ahead inc death,2020-05-23,6,California,point,,132.98946395303702,
4816,2020-05-09,1 day ahead inc hosp,2020-05-10,6,California,point,,553.5840468635041,
4817,2020-05-09,2 day ahead inc hosp,2020-05-11,6,California,point,,557.7697735162636,
4818,2020-05-09,3 day ahead inc hosp,2020-05-12,6,California,point,,561.8872404145716,
4819,2020-05-09,4 day ahead inc hosp,2020-05-13,6,California,point,,565.9449002622989,
4820,2020-05-09,5 day ahead inc hosp,2020-05-14,6,California,point,,569.9482659288549,
4821,2020-05-09,6 day ahead inc hosp,2020-05-15,6,California,point,,573.8995436917444,
4822,2020-05-09,7 day ahead inc hosp,2020-05-16,6,California,point,,577.8009398284793,
4823,2020-05-09,8 day ahead inc hosp,2020-05-17,6,California,point,,581.6357518316128,
4824,2020-05-09,9 day ahead inc hosp,2020-05-18,6,California,point,,585.4090969588383,
4825,2020-05-09,10 day ahead inc hosp,2020-05-19,6,California,point,,589.1243800011391,
4826,2020-05-09,11 day ahead inc hosp,2020-05-20,6,California,point,,592.7817630456651,
4827,2020-05-09,12 day ahead inc hosp,2020-05-21,6,California,point,,596.3813413477491,
4828,2020-05-09,13 day ahead inc hosp,2020-05-22,6,California,point,,599.9155907400966,
4829,2020-05-09,14 day ahead inc hosp,2020-05-23,6,California,point,,603.3827240197597,
5754,2020-05-09,1 day ahead cum death,2020-05-10,8,Colorado,point,,1040.630811685694,
5755,2020-05-09,2 day ahead cum death,2020-05-11,8,Colorado,point,,1069.2503517798782,
5756,2020-05-09,3 day ahead cum death,2020-05-12,8,Colorado,point,,1097.8786046522362,
5757,2020-05-09,4 day ahead cum death,2020-05-13,8,Colorado,point,,1126.5077761263547,
5758,2020-05-09,5 day ahead cum death,2020-05-14,8,Colorado,point,,1155.1302410262524,
5759,2020-05-09,6 day ahead cum death,2020-05-15,8,Colorado,point,,1183.7422121042262,
5760,2020-05-09,7 day ahead cum death,2020-05-16,8,Colorado,point,,1212.3365361857327,
5761,2020-05-09,8 day ahead cum death,2020-05-17,8,Colorado,point,,1240.905189921223,
5762,2020-05-09,9 day ahead cum death,2020-05-18,8,Colorado,point,,1269.4409430041678,
5763,2020-05-09,10 day ahead cum death,2020-05-19,8,Colorado,point,,1297.9367337358165,
5764,2020-05-09,11 day ahead cum death,2020-05-20,8,Colorado,point,,1326.390357023607,
5765,2020-05-09,12 day ahead cum death,2020-05-21,8,Colorado,point,,1354.795719063875,
5766,2020-05-09,13 day ahead cum death,2020-05-22,8,Colorado,point,,1383.1451590831039,
5767,2020-05-09,14 day ahead cum death,2020-05-23,8,Colorado,point,,1411.4321094775214,
5768,2020-05-09,1 day ahead inc death,2020-05-10,8,Colorado,point,,28.602131845978608,
5769,2020-05-09,2 day ahead inc death,2020-05-11,8,Colorado,point,,28.619540094184106,
5770,2020-05-09,3 day ahead inc death,2020-05-12,8,Colorado,point,,28.628252872357958,
5771,2020-05-09,4 day ahead inc death,2020-05-13,8,Colorado,point,,28.629171474119072,
5772,2020-05-09,5 day ahead inc death,2020-05-14,8,Colorado,point,,28.622464899897466,
5773,2020-05-09,6 day ahead inc death,2020-05-15,8,Colorado,point,,28.61197107797325,
5774,2020-05-09,7 day ahead inc death,2020-05-16,8,Colorado,point,,28.59432408150696,
5775,2020-05-09,8 day ahead inc death,2020-05-17,8,Colorado,point,,28.568653735490198,
5776,2020-05-09,9 day ahead inc death,2020-05-18,8,Colorado,point,,28.53575308294489,
5777,2020-05-09,10 day ahead inc death,2020-05-19,8,Colorado,point,,28.49579073164855,
5778,2020-05-09,11 day ahead inc death,2020-05-20,8,Colorado,point,,28.45362328779064,
5779,2020-05-09,12 day ahead inc death,2020-05-21,8,Colorado,point,,28.405362040267853,
5780,2020-05-09,13 day ahead inc death,2020-05-22,8,Colorado,point,,28.349440019229004,
5781,2020-05-09,14 day ahead inc death,2020-05-23,8,Colorado,point,,28.286950394417484,
