value,target,target_end_date,type,quantile,forecast_date,location
9.54008466005324,1 wk ahead inc case,2020-11-28,point,,2020-11-18,6043
18.297955572605133,2 wk ahead inc case,2020-12-05,point,,2020-11-18,6043
895.754093170166,1 wk ahead inc case,2020-11-28,point,,2020-11-18,6047
1733.6457023620605,2 wk ahead inc case,2020-12-05,point,,2020-11-18,6047
262.01052856445307,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13233
498.4386444091802,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13233
82.62147760391234,1 wk ahead inc case,2020-11-28,point,,2020-11-18,55051
148.79053783416745,2 wk ahead inc case,2020-12-05,point,,2020-11-18,55051
253.75617027282715,1 wk ahead inc case,2020-11-28,point,,2020-11-18,47017
465.7491779327395,2 wk ahead inc case,2020-12-05,point,,2020-11-18,47017
93.69361209869385,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31139
169.1331129074097,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31139
407.6420783996582,1 wk ahead inc case,2020-11-28,point,,2020-11-18,56037
711.1881790161133,2 wk ahead inc case,2020-12-05,point,,2020-11-18,56037
100.63640022277832,1 wk ahead inc case,2020-11-28,point,,2020-11-18,29181
183.59186458587646,2 wk ahead inc case,2020-12-05,point,,2020-11-18,29181
528.7112121582031,1 wk ahead inc case,2020-11-28,point,,2020-11-18,1115
991.8360023498544,2 wk ahead inc case,2020-12-05,point,,2020-11-18,1115
56.307820320129395,1 wk ahead inc case,2020-11-28,point,,2020-11-18,40011
103.3306183815002,2 wk ahead inc case,2020-12-05,point,,2020-11-18,40011
38.889235973358154,1 wk ahead inc case,2020-11-28,point,,2020-11-18,46069
68.21390104293822,2 wk ahead inc case,2020-12-05,point,,2020-11-18,46069
3065.6553344726562,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39017
5577.61566162109,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39017
106.10341644287121,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48265
196.67348194122337,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48265
291.63400650024414,1 wk ahead inc case,2020-11-28,point,,2020-11-18,45055
572.5872535705571,2 wk ahead inc case,2020-12-05,point,,2020-11-18,45055
