forecast_date,target,location,target_end_date,type,quantile,value
2020-08-10,1 wk ahead cum death,24,2020-08-15,point,,3665.1793692127294
2020-08-10,1 wk ahead cum death,18,2020-08-15,point,,3102.3545948799
2020-08-10,1 wk ahead cum death,51,2020-08-15,point,,2454.5596592389
2020-08-10,1 wk ahead cum death,37,2020-08-15,point,,2413.71538827552
2020-08-10,1 wk ahead cum death,45,2020-08-15,point,,2425.09001686274
2020-08-10,1 wk ahead cum death,28,2020-08-15,point,,2102.71121113103
2020-08-10,1 wk ahead cum death,08,2020-08-15,point,,1902.47997116868
2020-08-10,1 wk ahead cum death,01,2020-08-15,point,,1932.0680128826
2020-08-10,1 wk ahead cum death,27,2020-08-15,point,,1732.09361481554
2020-08-10,1 wk ahead cum death,53,2020-08-15,point,,1766.2419259809399
2020-08-10,1 wk ahead cum death,29,2020-08-15,point,,1322.0996633957302
2020-08-10,1 wk ahead cum death,47,2020-08-15,point,,1338.67801111768
2020-08-10,1 wk ahead cum death,44,2020-08-15,point,,1017.1780228448199
2020-08-10,1 wk ahead cum death,55,2020-08-15,point,,1057.19877161081
2020-08-10,1 wk ahead cum death,32,2020-08-15,point,,1081.42239966943
2020-08-10,1 wk ahead cum death,19,2020-08-15,point,,976.8672467899099
2020-08-10,1 wk ahead cum death,40,2020-08-15,point,,657.761991294615
2020-08-10,1 wk ahead cum death,21,2020-08-15,point,,813.026963645795
2020-08-10,2 wk ahead cum death,US,2020-08-22,point,,180116.673675097
2020-08-10,2 wk ahead cum death,36,2020-08-22,point,,32896.3801069725
2020-08-10,2 wk ahead cum death,34,2020-08-22,point,,16012.8565625142
2020-08-10,2 wk ahead cum death,06,2020-08-22,point,,12301.727848639299
2020-08-10,2 wk ahead cum death,48,2020-08-22,point,,13370.963280605802
2020-08-10,2 wk ahead cum death,25,2020-08-22,point,,8945.64089490044
2020-08-10,2 wk ahead cum death,12,2020-08-22,point,,11128.362124813999
2020-08-10,2 wk ahead cum death,17,2020-08-22,point,,8055.79163970331
2020-08-10,2 wk ahead cum death,42,2020-08-22,point,,7531.506726121221
2020-08-10,2 wk ahead cum death,26,2020-08-22,point,,6539.62040487793
2020-08-10,2 wk ahead cum death,09,2020-08-22,point,,4499.57365565675
2020-08-10,2 wk ahead cum death,22,2020-08-22,point,,4807.43967504882
2020-08-10,2 wk ahead cum death,13,2020-08-22,point,,5028.92709408873
2020-08-10,2 wk ahead cum death,04,2020-08-22,point,,5323.65943240004
2020-08-10,2 wk ahead cum death,39,2020-08-22,point,,4137.80969740168
2020-08-10,2 wk ahead cum death,24,2020-08-22,point,,3764.60027559488
2020-08-10,2 wk ahead cum death,18,2020-08-22,point,,3171.83278883021
2020-08-10,2 wk ahead cum death,51,2020-08-22,point,,2618.98460186731
2020-08-10,2 wk ahead cum death,37,2020-08-22,point,,2683.91380551014
2020-08-10,2 wk ahead cum death,45,2020-08-22,point,,2972.00126445299
2020-08-10,2 wk ahead cum death,28,2020-08-22,point,,2376.12623254541
2020-08-10,2 wk ahead cum death,08,2020-08-22,point,,1957.8725991468798
2020-08-10,2 wk ahead cum death,01,2020-08-22,point,,2130.18163518456
2020-08-10,2 wk ahead cum death,27,2020-08-22,point,,1783.68447025948
2020-08-10,2 wk ahead cum death,53,2020-08-22,point,,1848.9549570452696
2020-08-10,2 wk ahead cum death,29,2020-08-22,point,,1384.20805591638
2020-08-10,2 wk ahead cum death,47,2020-08-22,point,,1479.45159495746
2020-08-10,2 wk ahead cum death,44,2020-08-22,point,,1019.1470660014301
2020-08-10,2 wk ahead cum death,55,2020-08-22,point,,1133.0049243394
2020-08-10,2 wk ahead cum death,32,2020-08-22,point,,1259.02580127637
2020-08-10,2 wk ahead cum death,19,2020-08-22,point,,1036.6821718835401
2020-08-10,2 wk ahead cum death,40,2020-08-22,point,,718.965536515097
2020-08-10,2 wk ahead cum death,21,2020-08-22,point,,856.7541983490939
2020-08-10,3 wk ahead cum death,US,2020-08-29,point,,192368.434602318
2020-08-10,3 wk ahead cum death,36,2020-08-29,point,,32950.7920391413
2020-08-10,3 wk ahead cum death,34,2020-08-29,point,,16086.2654215313
2020-08-10,3 wk ahead cum death,06,2020-08-29,point,,13501.693784126699
2020-08-10,3 wk ahead cum death,48,2020-08-29,point,,16255.5368211674
2020-08-10,3 wk ahead cum death,25,2020-08-29,point,,9070.24990357167
2020-08-10,3 wk ahead cum death,12,2020-08-29,point,,13139.9553343123
2020-08-10,3 wk ahead cum death,17,2020-08-29,point,,8166.87752318852
2020-08-10,3 wk ahead cum death,42,2020-08-29,point,,7670.112673487421
2020-08-10,3 wk ahead cum death,26,2020-08-29,point,,6588.4923056734815
2020-08-10,3 wk ahead cum death,09,2020-08-29,point,,4548.06027610251
2020-08-10,3 wk ahead cum death,22,2020-08-29,point,,5182.96067875891
2020-08-10,3 wk ahead cum death,13,2020-08-29,point,,5578.799867958311
2020-08-10,3 wk ahead cum death,04,2020-08-29,point,,6066.62830026505
2020-08-10,3 wk ahead cum death,39,2020-08-29,point,,4419.91231743585
