location,target,type,quantile,forecast_date,target_end_date,value
25,5 wk ahead cum death,point,,2020-06-29,2020-08-01,8663
25,5 wk ahead inc death,point,,2020-06-29,2020-08-01,74
66,3 wk ahead cum death,point,,2020-06-29,2020-07-18,5
66,3 wk ahead inc death,point,,2020-06-29,2020-07-18,0
55,6 wk ahead cum death,point,,2020-06-29,2020-08-08,935
55,6 wk ahead inc death,point,,2020-06-29,2020-08-08,16
13,3 wk ahead cum death,point,,2020-06-29,2020-07-18,3181
13,3 wk ahead inc death,point,,2020-06-29,2020-07-18,128
05,7 wk ahead cum death,point,,2020-06-29,2020-08-15,619
05,7 wk ahead inc death,point,,2020-06-29,2020-08-15,63
41,7 wk ahead cum death,point,,2020-06-29,2020-08-15,350
41,7 wk ahead inc death,point,,2020-06-29,2020-08-15,24
11,2 wk ahead cum death,point,,2020-06-29,2020-07-11,576
11,2 wk ahead inc death,point,,2020-06-29,2020-07-11,13
44,1 wk ahead cum death,point,,2020-06-29,2020-07-04,963
44,1 wk ahead inc death,point,,2020-06-29,2020-07-04,45
02,2 wk ahead cum death,point,,2020-06-29,2020-07-11,14
02,2 wk ahead inc death,point,,2020-06-29,2020-07-11,0
31,1 wk ahead cum death,point,,2020-06-29,2020-07-04,287
31,1 wk ahead inc death,point,,2020-06-29,2020-07-04,25
33,3 wk ahead cum death,point,,2020-06-29,2020-07-18,459
33,3 wk ahead inc death,point,,2020-06-29,2020-07-18,30
48,7 wk ahead cum death,point,,2020-06-29,2020-08-15,3307
48,7 wk ahead inc death,point,,2020-06-29,2020-08-15,72
01,7 wk ahead cum death,point,,2020-06-29,2020-08-15,1135
01,7 wk ahead inc death,point,,2020-06-29,2020-08-15,16
28,4 wk ahead cum death,point,,2020-06-29,2020-07-25,1285
28,4 wk ahead inc death,point,,2020-06-29,2020-07-25,57
54,3 wk ahead cum death,point,,2020-06-29,2020-07-18,101
54,3 wk ahead inc death,point,,2020-06-29,2020-07-18,5
04,7 wk ahead cum death,point,,2020-06-29,2020-08-15,2140
04,7 wk ahead inc death,point,,2020-06-29,2020-08-15,33
01,4 wk ahead cum death,point,,2020-06-29,2020-07-25,1076
01,4 wk ahead inc death,point,,2020-06-29,2020-07-25,29
25,7 wk ahead cum death,point,,2020-06-29,2020-08-15,8769
25,7 wk ahead inc death,point,,2020-06-29,2020-08-15,47
09,6 wk ahead cum death,point,,2020-06-29,2020-08-08,4428
09,6 wk ahead inc death,point,,2020-06-29,2020-08-08,9
78,5 wk ahead cum death,point,,2020-06-29,2020-08-01,6
78,5 wk ahead inc death,point,,2020-06-29,2020-08-01,0
13,6 wk ahead cum death,point,,2020-06-29,2020-08-08,3501
13,6 wk ahead inc death,point,,2020-06-29,2020-08-08,93
04,2 wk ahead cum death,point,,2020-06-29,2020-07-11,1840
04,2 wk ahead inc death,point,,2020-06-29,2020-07-11,118
37,1 wk ahead cum death,point,,2020-06-29,2020-07-04,1435
37,1 wk ahead inc death,point,,2020-06-29,2020-07-04,138
