forecast_date,target,target_end_date,quantile,value,location,type
2021-01-24,12 day ahead inc hosp,2021-02-05,,36.86391174963217,11,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,32.571723502450574,11,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,34.89058600021653,11,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,36.61721384378977,11,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,39.056915496697954,11,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,37.603331878467095,11,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,39.13564413696273,11,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,36.08473298961455,11,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,34.5323969797533,11,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,34.365267330146835,11,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,37.88673968832092,11,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,38.113834819223534,11,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,38.69731328407471,11,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,38.14047713489963,11,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,37.530281803147396,11,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,33.63499828501366,11,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,35.59361144110085,11,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,50.58565073010503,10,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,50.14685561780949,10,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,52.6324009667616,10,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,50.951581418981704,10,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,48.11355819885396,10,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,51.62260387817036,10,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,48.455718856285934,10,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,48.888746010477426,10,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,48.44839117682285,10,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,50.916527671229495,10,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,49.209306984444396,10,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,46.347997131397406,10,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,49.84135450826357,10,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,46.66438972986501,10,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,47.09008090189127,10,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,46.646883797830924,10,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,49.11759426904467,10,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,47.41617268973931,10,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,44.560212516778485,10,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,48.05705256943926,10,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,44.88219935275136,10,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,45.30940218395875,10,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,44.866558535569936,10,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,47.33615877490803,10,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,45.63277409212015,10,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,42.77504780901536,10,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,46.27071592337407,10,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,43.095128315550184,10,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,906.9621422585498,12,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,1035.125246252386,12,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,1005.4146266538032,12,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,988.1279808312593,12,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,987.4937507900523,12,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,914.470551020974,12,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,837.0338872331407,12,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,836.8878419841881,12,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,963.0603381859912,12,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,932.7360009577956,12,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,917.0629068830154,12,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,918.6195475229407,12,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,846.9245792328185,12,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,770.2360471203557,12,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,770.7790824424667,12,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,897.7385033270122,12,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,867.6567803676854,12,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,851.3458202759954,12,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,852.0363701216122,12,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,779.8163278930133,12,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,702.8320457855583,12,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,703.1026750742886,12,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,829.7510103700791,12,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,799.5733775936621,12,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,783.5145775018483,12,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,784.5475087386285,12,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,712.5350377562111,12,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,635.6676709829839,12,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,591.8717880665853,13,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,660.6998186007472,13,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,645.8157984143858,13,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,642.7662790202312,13,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,646.8403522131838,13,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,612.7272428324333,13,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,538.8049908848416,13,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,520.1721206399303,13,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,588.0409837801337,13,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,573.0531044967544,13,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,569.5750861155798,13,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,572.9867352558841,13,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,538.4858876468802,13,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,464.4557001649134,13,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,445.9764910504941,13,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,514.2362132477565,13,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,499.29065068010254,13,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,495.9872481089851,13,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,499.668842639179,13,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,465.3260029736763,13,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,391.3398003357162,13,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,372.7979719571682,13,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,440.8984135036665,13,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,425.9356062342239,13,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,422.56104524544463,13,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,426.1326332264431,13,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,391.7254030991337,13,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,317.7212760168457,13,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,0.0,66,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,0.0,66,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,0.44348239642927495,66,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,0.4642018495539854,66,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,0.0,66,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,0.0,66,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,0.0,66,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,0.0,66,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,0.05056468083782173,66,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,0.4228300822315149,66,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,0.7089125482430946,66,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,0.0,66,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,0.0,66,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,0.0,66,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,0.0,66,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,0.0,66,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,0.19252762367762435,66,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,0.23477209678006586,66,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,0.0,66,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,0.0,66,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,0.0,66,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,0.0,66,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,0.0,66,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,0.15486945965820045,66,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,0.4211729157336547,66,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,0.0,66,point
