location,forecast_date,value,target_end_date,target,type,quantile
2170,2021-04-17,286.2190071400001,2021-05-01,2 wk ahead inc case,point,
2170,2021-04-17,297.20884996,2021-05-08,3 wk ahead inc case,point,
2170,2021-04-17,299.77704603,2021-05-15,4 wk ahead inc case,point,
2180,2021-04-17,4.99339656,2021-04-24,1 wk ahead inc case,point,
2180,2021-04-17,6.89835824,2021-05-01,2 wk ahead inc case,point,
2180,2021-04-17,4.35914296,2021-05-08,3 wk ahead inc case,point,
2180,2021-04-17,4.4455775200000005,2021-05-15,4 wk ahead inc case,point,
2185,2021-04-17,8.552070239999999,2021-04-24,1 wk ahead inc case,point,
2185,2021-04-17,16.55934936,2021-05-01,2 wk ahead inc case,point,
2185,2021-04-17,18.37148528,2021-05-08,3 wk ahead inc case,point,
2185,2021-04-17,21.56718024000001,2021-05-15,4 wk ahead inc case,point,
2188,2021-04-17,6.684379099999999,2021-04-24,1 wk ahead inc case,point,
2188,2021-04-17,6.6376623699999975,2021-05-01,2 wk ahead inc case,point,
2188,2021-04-17,9.38853853,2021-05-08,3 wk ahead inc case,point,
2188,2021-04-17,5.40588014,2021-05-15,4 wk ahead inc case,point,
2220,2021-04-17,6.20345706,2021-04-24,1 wk ahead inc case,point,
2220,2021-04-17,6.1666823699999975,2021-05-01,2 wk ahead inc case,point,
2220,2021-04-17,4.7091137100000005,2021-05-08,3 wk ahead inc case,point,
2220,2021-04-17,10.63196205,2021-05-15,4 wk ahead inc case,point,
2240,2021-04-17,3.72035889,2021-04-24,1 wk ahead inc case,point,
2240,2021-04-17,8.71192484,2021-05-01,2 wk ahead inc case,point,
2240,2021-04-17,16.3929326,2021-05-08,3 wk ahead inc case,point,
2240,2021-04-17,10.788992529999998,2021-05-15,4 wk ahead inc case,point,
2261,2021-04-17,0.09202,2021-04-24,1 wk ahead inc case,point,
2261,2021-04-17,2.47635022,2021-05-01,2 wk ahead inc case,point,
2261,2021-04-17,0.18404,2021-05-08,3 wk ahead inc case,point,
2261,2021-04-17,0.08088558,2021-05-15,4 wk ahead inc case,point,
2282,2021-04-17,0.76949679,2021-04-24,1 wk ahead inc case,point,
2282,2021-04-17,0.80769921,2021-05-01,2 wk ahead inc case,point,
2282,2021-04-17,0.95727228,2021-05-08,3 wk ahead inc case,point,
2282,2021-04-17,0.75329058,2021-05-15,4 wk ahead inc case,point,
4001,2021-04-17,177.23811737,2021-04-24,1 wk ahead inc case,point,
4001,2021-04-17,280.66697636,2021-05-01,2 wk ahead inc case,point,
4001,2021-04-17,245.85210226,2021-05-08,3 wk ahead inc case,point,
4001,2021-04-17,75.95796080999997,2021-05-15,4 wk ahead inc case,point,
4003,2021-04-17,79.56129726,2021-04-24,1 wk ahead inc case,point,
4003,2021-04-17,113.65467876,2021-05-01,2 wk ahead inc case,point,
4003,2021-04-17,117.27241782,2021-05-08,3 wk ahead inc case,point,
4003,2021-04-17,125.41957122,2021-05-15,4 wk ahead inc case,point,
4005,2021-04-17,255.27393396,2021-04-24,1 wk ahead inc case,point,
4005,2021-04-17,373.72771956,2021-05-01,2 wk ahead inc case,point,
4005,2021-04-17,563.30686264,2021-05-08,3 wk ahead inc case,point,
4005,2021-04-17,563.51777236,2021-05-15,4 wk ahead inc case,point,
4007,2021-04-17,33.0725205,2021-04-24,1 wk ahead inc case,point,
4007,2021-04-17,50.21837388,2021-05-01,2 wk ahead inc case,point,
4007,2021-04-17,51.96855708,2021-05-08,3 wk ahead inc case,point,
4007,2021-04-17,40.2920262,2021-05-15,4 wk ahead inc case,point,
4009,2021-04-17,89.33170229000002,2021-04-24,1 wk ahead inc case,point,
4009,2021-04-17,49.17191407000001,2021-05-01,2 wk ahead inc case,point,
4009,2021-04-17,38.07812502,2021-05-08,3 wk ahead inc case,point,
4009,2021-04-17,90.91586352,2021-05-15,4 wk ahead inc case,point,
4011,2021-04-17,2.97629328,2021-04-24,1 wk ahead inc case,point,
4011,2021-04-17,4.61925732,2021-05-01,2 wk ahead inc case,point,
4011,2021-04-17,11.60389656,2021-05-08,3 wk ahead inc case,point,
