,Unnamed: 0,forecast_date,target,target_end_date,location,type,quantile,value
156,12.0,2020-05-17,6 day ahead cum death,2020-05-23,US,point,,98043
157,13.0,2020-05-17,6 day ahead inc death,2020-05-23,US,point,,1362
158,14.0,2020-05-17,7 day ahead cum death,2020-05-24,US,point,,99384
159,15.0,2020-05-17,7 day ahead inc death,2020-05-24,US,point,,1342
160,0.0,2020-05-24,1 day ahead cum death,2020-05-25,US,point,,98937
161,1.0,2020-05-24,1 day ahead inc death,2020-05-25,US,point,,1217
162,2.0,2020-05-24,1 wk ahead cum death,2020-05-30,US,point,,104671
163,3.0,2020-05-24,1 wk ahead inc death,2020-05-30,US,point,,8730
164,4.0,2020-05-24,2 day ahead cum death,2020-05-26,US,point,,100129
165,5.0,2020-05-24,2 day ahead inc death,2020-05-26,US,point,,1198
166,6.0,2020-05-24,3 day ahead cum death,2020-05-27,US,point,,101293
167,7.0,2020-05-24,3 day ahead inc death,2020-05-27,US,point,,1173
168,8.0,2020-05-24,4 day ahead cum death,2020-05-28,US,point,,102429
169,9.0,2020-05-24,4 day ahead inc death,2020-05-28,US,point,,1150
170,10.0,2020-05-24,5 day ahead cum death,2020-05-29,US,point,,103550
171,11.0,2020-05-24,5 day ahead inc death,2020-05-29,US,point,,1135
172,12.0,2020-05-24,6 day ahead cum death,2020-05-30,US,point,,104671
173,13.0,2020-05-24,6 day ahead inc death,2020-05-30,US,point,,1137
174,14.0,2020-05-24,7 day ahead cum death,2020-05-31,US,point,,105817
175,15.0,2020-05-24,7 day ahead inc death,2020-05-31,US,point,,1145
176,0.0,2020-05-31,1 day ahead cum death,2020-06-01,US,point,,105412
177,1.0,2020-05-31,1 day ahead inc death,2020-06-01,US,point,,1031
178,2.0,2020-05-31,1 wk ahead cum death,2020-06-06,US,point,,110527
179,3.0,2020-05-31,1 wk ahead inc death,2020-06-06,US,point,,7773
180,4.0,2020-05-31,2 day ahead cum death,2020-06-02,US,point,,106438
181,5.0,2020-05-31,2 day ahead inc death,2020-06-02,US,point,,1027
182,6.0,2020-05-31,3 day ahead cum death,2020-06-03,US,point,,107462
183,7.0,2020-05-31,3 day ahead inc death,2020-06-03,US,point,,1024
184,8.0,2020-05-31,4 day ahead cum death,2020-06-04,US,point,,108484
185,9.0,2020-05-31,4 day ahead inc death,2020-06-04,US,point,,1024
186,10.0,2020-05-31,5 day ahead cum death,2020-06-05,US,point,,109506
187,11.0,2020-05-31,5 day ahead inc death,2020-06-05,US,point,,1022
188,12.0,2020-05-31,6 day ahead cum death,2020-06-06,US,point,,110527
189,13.0,2020-05-31,6 day ahead inc death,2020-06-06,US,point,,1020
190,14.0,2020-05-31,7 day ahead cum death,2020-06-07,US,point,,111549
