location,quantile,target,value,type,forecast_date,target_end_date
21,,2 wk ahead inc death,59.28299999999999,point,2020-08-31,2020-09-12
21,,2 wk ahead inc case,5025.387500000002,point,2020-08-31,2020-09-12
21,,2 wk ahead cum death,1033.5545000000004,point,2020-08-31,2020-09-12
22,,2 wk ahead inc death,57.2115,point,2020-08-31,2020-09-12
22,,2 wk ahead inc case,1693.5525,point,2020-08-31,2020-09-12
22,,2 wk ahead cum death,5042.787999999999,point,2020-08-31,2020-09-12
23,,2 wk ahead inc death,2.5185000000000004,point,2020-08-31,2020-09-12
23,,2 wk ahead inc case,238.088,point,2020-08-31,2020-09-12
23,,2 wk ahead cum death,136.5205,point,2020-08-31,2020-09-12
24,,2 wk ahead inc death,61.762,point,2020-08-31,2020-09-12
24,,2 wk ahead inc case,2369.7365,point,2020-08-31,2020-09-12
24,,2 wk ahead cum death,3859.2929999999997,point,2020-08-31,2020-09-12
25,,2 wk ahead inc death,55.81950000000001,point,2020-08-31,2020-09-12
25,,2 wk ahead inc case,687.988,point,2020-08-31,2020-09-12
25,,2 wk ahead cum death,9160.833,point,2020-08-31,2020-09-12
26,,2 wk ahead inc death,156.601,point,2020-08-31,2020-09-12
26,,2 wk ahead inc case,3438.855,point,2020-08-31,2020-09-12
26,,2 wk ahead cum death,7065.3125,point,2020-08-31,2020-09-12
27,,2 wk ahead inc death,79.21199999999997,point,2020-08-31,2020-09-12
27,,2 wk ahead inc case,4363.325,point,2020-08-31,2020-09-12
27,,2 wk ahead cum death,2025.858,point,2020-08-31,2020-09-12
28,,2 wk ahead inc death,62.36149999999999,point,2020-08-31,2020-09-12
28,,2 wk ahead inc case,2858.5704999999994,point,2020-08-31,2020-09-12
28,,2 wk ahead cum death,2549.3695,point,2020-08-31,2020-09-12
29,,2 wk ahead inc death,105.1095,point,2020-08-31,2020-09-12
29,,2 wk ahead inc case,8166.535999999997,point,2020-08-31,2020-09-12
29,,2 wk ahead cum death,1639.9315,point,2020-08-31,2020-09-12
30,,2 wk ahead inc death,8.210499999999996,point,2020-08-31,2020-09-12
30,,2 wk ahead inc case,1278.049,point,2020-08-31,2020-09-12
30,,2 wk ahead cum death,114.8605,point,2020-08-31,2020-09-12
31,,2 wk ahead inc death,14.277999999999974,point,2020-08-31,2020-09-12
31,,2 wk ahead inc case,2606.244,point,2020-08-31,2020-09-12
31,,2 wk ahead cum death,419.13349999999986,point,2020-08-31,2020-09-12
32,,2 wk ahead inc death,31.614,point,2020-08-31,2020-09-12
32,,2 wk ahead inc case,2757.4435000000008,point,2020-08-31,2020-09-12
32,,2 wk ahead cum death,1353.707,point,2020-08-31,2020-09-12
33,,2 wk ahead inc death,4.178999999999999,point,2020-08-31,2020-09-12
33,,2 wk ahead inc case,197.8515,point,2020-08-31,2020-09-12
33,,2 wk ahead cum death,439.79,point,2020-08-31,2020-09-12
34,,2 wk ahead inc death,51.6245,point,2020-08-31,2020-09-12
34,,2 wk ahead inc case,532.0305000000002,point,2020-08-31,2020-09-12
34,,2 wk ahead cum death,16062.2825,point,2020-08-31,2020-09-12
35,,2 wk ahead inc death,13.759999999999994,point,2020-08-31,2020-09-12
35,,2 wk ahead inc case,872.0509999999998,point,2020-08-31,2020-09-12
35,,2 wk ahead cum death,795.155,point,2020-08-31,2020-09-12
36,,2 wk ahead inc death,99.4935,point,2020-08-31,2020-09-12
36,,2 wk ahead inc case,1476.306,point,2020-08-31,2020-09-12
36,,2 wk ahead cum death,33180.296500000004,point,2020-08-31,2020-09-12
37,,2 wk ahead inc death,100.3405,point,2020-08-31,2020-09-12
37,,2 wk ahead inc case,12226.0675,point,2020-08-31,2020-09-12
37,,2 wk ahead cum death,2842.7825,point,2020-08-31,2020-09-12
38,,2 wk ahead inc death,16.393999999999984,point,2020-08-31,2020-09-12
38,,2 wk ahead inc case,2199.1584999999995,point,2020-08-31,2020-09-12
38,,2 wk ahead cum death,169.9495,point,2020-08-31,2020-09-12
39,,2 wk ahead inc death,133.07450000000003,point,2020-08-31,2020-09-12
39,,2 wk ahead inc case,6665.0295,point,2020-08-31,2020-09-12
39,,2 wk ahead cum death,4372.67,point,2020-08-31,2020-09-12
40,,2 wk ahead inc death,39.017999999999994,point,2020-08-31,2020-09-12
40,,2 wk ahead inc case,6301.2135,point,2020-08-31,2020-09-12
40,,2 wk ahead cum death,858.4550000000003,point,2020-08-31,2020-09-12
41,,2 wk ahead inc death,16.101,point,2020-08-31,2020-09-12
41,,2 wk ahead inc case,1963.4310000000007,point,2020-08-31,2020-09-12
41,,2 wk ahead cum death,478.141,point,2020-08-31,2020-09-12
42,,2 wk ahead inc death,107.569,point,2020-08-31,2020-09-12
42,,2 wk ahead inc case,3101.783000000001,point,2020-08-31,2020-09-12
42,,2 wk ahead cum death,7869.6140000000005,point,2020-08-31,2020-09-12
44,,2 wk ahead inc death,12.6245,point,2020-08-31,2020-09-12
44,,2 wk ahead inc case,275.19750000000005,point,2020-08-31,2020-09-12
44,,2 wk ahead cum death,1076.1425,point,2020-08-31,2020-09-12
45,,2 wk ahead inc death,59.10350000000001,point,2020-08-31,2020-09-12
45,,2 wk ahead inc case,5130.453,point,2020-08-31,2020-09-12
45,,2 wk ahead cum death,2773.5159999999996,point,2020-08-31,2020-09-12
46,,2 wk ahead inc death,15.849499999999981,point,2020-08-31,2020-09-12
46,,2 wk ahead inc case,2545.6904999999992,point,2020-08-31,2020-09-12
46,,2 wk ahead cum death,193.75100000000003,point,2020-08-31,2020-09-12
47,,2 wk ahead inc death,73.9075,point,2020-08-31,2020-09-12
