,location,target,type,quantile,forecast_date,target_end_date,value
4864,25,2 wk ahead inc death,point,,2020-06-18,2020-07-04,418.27869999999984
4865,24,2 wk ahead inc death,point,,2020-06-18,2020-07-04,460.3062
4866,23,2 wk ahead inc death,point,,2020-06-18,2020-07-04,21.058759999999992
4867,26,2 wk ahead inc death,point,,2020-06-18,2020-07-04,574.2116999999997
4868,27,2 wk ahead inc death,point,,2020-06-18,2020-07-04,290.4784
4869,29,2 wk ahead inc death,point,,2020-06-18,2020-07-04,275.82926000000003
4870,28,2 wk ahead inc death,point,,2020-06-18,2020-07-04,291.61512999999997
4871,30,2 wk ahead inc death,point,,2020-06-18,2020-07-04,2.0155030000000025
4872,37,2 wk ahead inc death,point,,2020-06-18,2020-07-04,237.44650000000027
4873,38,2 wk ahead inc death,point,,2020-06-18,2020-07-04,14.022869999999998
4874,31,2 wk ahead inc death,point,,2020-06-18,2020-07-04,63.091139999999974
4875,33,2 wk ahead inc death,point,,2020-06-18,2020-07-04,99.96919999999994
4876,34,2 wk ahead inc death,point,,2020-06-18,2020-07-04,508.4789999999994
4877,35,2 wk ahead inc death,point,,2020-06-18,2020-07-04,79.37030000000004
4878,32,2 wk ahead inc death,point,,2020-06-18,2020-07-04,64.23043000000001
4879,36,2 wk ahead inc death,point,,2020-06-18,2020-07-04,370.242000000002
4880,39,2 wk ahead inc death,point,,2020-06-18,2020-07-04,552.0817999999998
4881,40,2 wk ahead inc death,point,,2020-06-18,2020-07-04,61.598300000000044
4882,41,2 wk ahead inc death,point,,2020-06-18,2020-07-04,28.222109999999986
4883,42,2 wk ahead inc death,point,,2020-06-18,2020-07-04,426.13230000000016
4884,44,2 wk ahead inc death,point,,2020-06-18,2020-07-04,79.81820000000005
4885,45,2 wk ahead inc death,point,,2020-06-18,2020-07-04,153.1033
4886,46,2 wk ahead inc death,point,,2020-06-18,2020-07-04,30.30018
4887,47,2 wk ahead inc death,point,,2020-06-18,2020-07-04,145.17775000000006
4888,48,2 wk ahead inc death,point,,2020-06-18,2020-07-04,460.0400999999997
4889,49,2 wk ahead inc death,point,,2020-06-18,2020-07-04,42.38385
4890,51,2 wk ahead inc death,point,,2020-06-18,2020-07-04,239.4467
4891,50,2 wk ahead inc death,point,,2020-06-18,2020-07-04,0.8893389999999997
4892,53,2 wk ahead inc death,point,,2020-06-18,2020-07-04,115.47060000000008
4893,55,2 wk ahead inc death,point,,2020-06-18,2020-07-04,138.41840000000002
4894,54,2 wk ahead inc death,point,,2020-06-18,2020-07-04,25.51251499999998
4895,56,2 wk ahead inc death,point,,2020-06-18,2020-07-04,3.742265999999997
7242,2,3 wk ahead cum death,point,,2020-06-18,2020-07-11,11.90421
7243,1,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1262.9281
7244,5,3 wk ahead cum death,point,,2020-06-18,2020-07-11,285.29962
7245,4,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1734.0068
7246,6,3 wk ahead cum death,point,,2020-06-18,2020-07-11,8048.1147
