,location,forecast_date,target_end_date,value,target,type,quantile
29433,05031,2020-07-12,2020-07-25,78.08299807252561,2 wk ahead inc case,point,
29434,05031,2020-07-12,2020-08-01,89.09413951290651,3 wk ahead inc case,point,
29435,05031,2020-07-12,2020-08-08,103.23222383981114,4 wk ahead inc case,point,
29436,05033,2020-07-12,2020-07-18,49.94565606407302,1 wk ahead inc case,point,
29437,05033,2020-07-12,2020-07-25,52.5350148763167,2 wk ahead inc case,point,
29438,05033,2020-07-12,2020-08-01,57.7847921521461,3 wk ahead inc case,point,
29439,05033,2020-07-12,2020-08-08,65.46629235870284,4 wk ahead inc case,point,
29440,05045,2020-07-12,2020-07-18,164.37442401941968,1 wk ahead inc case,point,
29441,05045,2020-07-12,2020-07-25,192.44277917273726,2 wk ahead inc case,point,
29442,05045,2020-07-12,2020-08-01,212.9255109610456,3 wk ahead inc case,point,
29443,05045,2020-07-12,2020-08-08,227.88889011828653,4 wk ahead inc case,point,
29444,05051,2020-07-12,2020-07-18,60.65400233562538,1 wk ahead inc case,point,
29445,05051,2020-07-12,2020-07-25,63.24749932675312,2 wk ahead inc case,point,
29446,05051,2020-07-12,2020-08-01,75.57461794564925,3 wk ahead inc case,point,
29447,05051,2020-07-12,2020-08-08,88.18474121251347,4 wk ahead inc case,point,
29448,05069,2020-07-12,2020-07-18,108.72304112753416,1 wk ahead inc case,point,
29449,05069,2020-07-12,2020-07-25,125.78261270936657,2 wk ahead inc case,point,
29450,05069,2020-07-12,2020-08-01,136.73134323980145,3 wk ahead inc case,point,
29451,05069,2020-07-12,2020-08-08,155.00506314373283,4 wk ahead inc case,point,
29452,05085,2020-07-12,2020-07-18,29.30026502595923,1 wk ahead inc case,point,
29453,05085,2020-07-12,2020-07-25,34.14123709208912,2 wk ahead inc case,point,
29454,05085,2020-07-12,2020-08-01,39.9976154365217,3 wk ahead inc case,point,
29455,05085,2020-07-12,2020-08-08,44.72166127931588,4 wk ahead inc case,point,
29456,05115,2020-07-12,2020-07-18,138.0638079263418,1 wk ahead inc case,point,
29457,05115,2020-07-12,2020-07-25,156.39864428917744,2 wk ahead inc case,point,
29458,05115,2020-07-12,2020-08-01,165.00955681055268,3 wk ahead inc case,point,
29459,05115,2020-07-12,2020-08-08,182.38097519590355,4 wk ahead inc case,point,
29460,05119,2020-07-12,2020-07-18,537.8554188227317,1 wk ahead inc case,point,
29461,05119,2020-07-12,2020-07-25,627.7230709014799,2 wk ahead inc case,point,
29462,05119,2020-07-12,2020-08-01,693.1139841851348,3 wk ahead inc case,point,
29463,05119,2020-07-12,2020-08-08,732.6400275095989,4 wk ahead inc case,point,
29464,05125,2020-07-12,2020-07-18,125.01258067550914,1 wk ahead inc case,point,
29465,05125,2020-07-12,2020-07-25,146.09897543996618,2 wk ahead inc case,point,
29466,05125,2020-07-12,2020-08-01,160.32910116223894,3 wk ahead inc case,point,
29467,05125,2020-07-12,2020-08-08,181.1917598285525,4 wk ahead inc case,point,
29468,05131,2020-07-12,2020-07-18,227.01232960744773,1 wk ahead inc case,point,
29469,05131,2020-07-12,2020-07-25,258.47729275218927,2 wk ahead inc case,point,
29470,05131,2020-07-12,2020-08-01,279.78934729727956,3 wk ahead inc case,point,
29471,05131,2020-07-12,2020-08-08,307.53058518668337,4 wk ahead inc case,point,
29472,05143,2020-07-12,2020-07-18,454.4388197853544,1 wk ahead inc case,point,
29473,05143,2020-07-12,2020-07-25,471.4065938990406,2 wk ahead inc case,point,
29474,05143,2020-07-12,2020-08-01,498.33531637315116,3 wk ahead inc case,point,
29475,05143,2020-07-12,2020-08-08,498.92286789106424,4 wk ahead inc case,point,
29476,05145,2020-07-12,2020-07-18,62.87430127714193,1 wk ahead inc case,point,
29477,05145,2020-07-12,2020-07-25,71.36389060332691,2 wk ahead inc case,point,
29478,05145,2020-07-12,2020-08-01,83.49805899672812,3 wk ahead inc case,point,
29479,05145,2020-07-12,2020-08-08,93.28755225267092,4 wk ahead inc case,point,
29480,06001,2020-07-12,2020-07-18,826.2854949052222,1 wk ahead inc case,point,
29481,06001,2020-07-12,2020-07-25,1000.0699086446416,2 wk ahead inc case,point,
29482,06001,2020-07-12,2020-08-01,1092.0221627515377,3 wk ahead inc case,point,
29483,06001,2020-07-12,2020-08-08,1155.266402708787,4 wk ahead inc case,point,
29484,06007,2020-07-12,2020-07-18,81.8168075639213,1 wk ahead inc case,point,
29485,06007,2020-07-12,2020-07-25,97.09848057189078,2 wk ahead inc case,point,
