,forecast_date,target,location,target_end_date,type,quantile,value
5520,2020-08-10,3 wk ahead cum death,21,2020-08-29,point,,903.0148743366569
5544,2020-08-10,4 wk ahead cum death,US,2020-09-05,point,,207107.371421275
5568,2020-08-10,4 wk ahead cum death,36,2020-09-05,point,,32999.5993413955
5592,2020-08-10,4 wk ahead cum death,34,2020-09-05,point,,16161.031215056999
5616,2020-08-10,4 wk ahead cum death,06,2020-09-05,point,,14869.7808073454
5640,2020-08-10,4 wk ahead cum death,48,2020-09-05,point,,19858.552262259498
5664,2020-08-10,4 wk ahead cum death,25,2020-09-05,point,,9204.93858554802
5688,2020-08-10,4 wk ahead cum death,12,2020-09-05,point,,15567.1032895222
5712,2020-08-10,4 wk ahead cum death,17,2020-09-05,point,,8280.95518164268
5736,2020-08-10,4 wk ahead cum death,42,2020-09-05,point,,7830.62629609604
5760,2020-08-10,4 wk ahead cum death,26,2020-09-05,point,,6639.1154130855
5784,2020-08-10,4 wk ahead cum death,09,2020-09-05,point,,4617.51754678539
5808,2020-08-10,4 wk ahead cum death,22,2020-09-05,point,,5635.272669540191
5832,2020-08-10,4 wk ahead cum death,13,2020-09-05,point,,6246.38420656677
5856,2020-08-10,4 wk ahead cum death,04,2020-09-05,point,,6935.11788949253
5880,2020-08-10,4 wk ahead cum death,39,2020-09-05,point,,4739.22270377685
5904,2020-08-10,4 wk ahead cum death,24,2020-09-05,point,,4007.0588684203203
5928,2020-08-10,4 wk ahead cum death,18,2020-09-05,point,,3318.79671724848
5952,2020-08-10,4 wk ahead cum death,51,2020-09-05,point,,3062.80382853843
5976,2020-08-10,4 wk ahead cum death,37,2020-09-05,point,,3391.86215963526
6000,2020-08-10,4 wk ahead cum death,45,2020-09-05,point,,4619.565086880821
6024,2020-08-10,4 wk ahead cum death,28,2020-09-05,point,,3108.21581106793
6048,2020-08-10,4 wk ahead cum death,08,2020-09-05,point,,2106.60570928675
6072,2020-08-10,4 wk ahead cum death,01,2020-09-05,point,,2606.29985076523
6096,2020-08-10,4 wk ahead cum death,27,2020-09-05,point,,1910.2934266692498
6120,2020-08-10,4 wk ahead cum death,53,2020-09-05,point,,2030.23979933163
6144,2020-08-10,4 wk ahead cum death,29,2020-09-05,point,,1525.5693075648
6168,2020-08-10,4 wk ahead cum death,47,2020-09-05,point,,1821.03490072076
6192,2020-08-10,4 wk ahead cum death,44,2020-09-05,point,,1021.1349750910001
6216,2020-08-10,4 wk ahead cum death,55,2020-09-05,point,,1343.68801118827
6240,2020-08-10,4 wk ahead cum death,32,2020-09-05,point,,1820.9170169747897
6264,2020-08-10,4 wk ahead cum death,19,2020-09-05,point,,1182.38305099123
6288,2020-08-10,4 wk ahead cum death,40,2020-09-05,point,,864.099063382567
6312,2020-08-10,4 wk ahead cum death,21,2020-09-05,point,,951.8963635483009
