,forecast_date,location,target,type,quantile,target_end_date,value
2942,2020-07-27,34,2 wk ahead cum death,point,,2020-08-08,16121.1362
2943,2020-07-27,35,2 wk ahead cum death,point,,2020-08-08,673.9318
2944,2020-07-27,36,2 wk ahead cum death,point,,2020-08-08,32895.5078
2945,2020-07-27,37,2 wk ahead cum death,point,,2020-08-08,2199.1602
2946,2020-07-27,38,2 wk ahead cum death,point,,2020-08-08,110.3174
2947,2020-07-27,39,2 wk ahead cum death,point,,2020-08-08,3566.613
2948,2020-07-27,40,2 wk ahead cum death,point,,2020-08-08,628.5766
2949,2020-07-27,41,2 wk ahead cum death,point,,2020-08-08,372.5994
2950,2020-07-27,42,2 wk ahead cum death,point,,2020-08-08,7306.5164
2951,2020-07-27,44,2 wk ahead cum death,point,,2020-08-08,1014.3614
2952,2020-07-27,45,2 wk ahead cum death,point,,2020-08-08,2457.2732
2953,2020-07-27,46,2 wk ahead cum death,point,,2020-08-08,145.9514
2954,2020-07-27,47,2 wk ahead cum death,point,,2020-08-08,1424.2746
2955,2020-07-27,48,2 wk ahead cum death,point,,2020-08-08,9075.0646
2956,2020-07-27,49,2 wk ahead cum death,point,,2020-08-08,363.0262
2957,2020-07-27,50,2 wk ahead cum death,point,,2020-08-08,56.965
2958,2020-07-27,51,2 wk ahead cum death,point,,2020-08-08,2189.2344
2959,2020-07-27,53,2 wk ahead cum death,point,,2020-08-08,1638.105
2960,2020-07-27,54,2 wk ahead cum death,point,,2020-08-08,108.3078
2961,2020-07-27,55,2 wk ahead cum death,point,,2020-08-08,960.9724
2962,2020-07-27,56,2 wk ahead cum death,point,,2020-08-08,29.1236
2963,2020-07-27,US,2 wk ahead cum death,point,,2020-08-08,165630.0418
4160,2020-07-27,01,2 wk ahead inc death,point,,2020-08-08,307.108
4161,2020-07-27,02,2 wk ahead inc death,point,,2020-08-08,5.662999999999999
4162,2020-07-27,04,2 wk ahead inc death,point,,2020-08-08,1488.1054
4163,2020-07-27,05,2 wk ahead inc death,point,,2020-08-08,65.0496
4164,2020-07-27,06,2 wk ahead inc death,point,,2020-08-08,990.0048
4165,2020-07-27,08,2 wk ahead inc death,point,,2020-08-08,23.665
4166,2020-07-27,09,2 wk ahead inc death,point,,2020-08-08,8.7764
4167,2020-07-27,10,2 wk ahead inc death,point,,2020-08-08,11.7742
4168,2020-07-27,11,2 wk ahead inc death,point,,2020-08-08,3.1860000000000004
4169,2020-07-27,12,2 wk ahead inc death,point,,2020-08-08,2160.8422
4170,2020-07-27,13,2 wk ahead inc death,point,,2020-08-08,304.7632
4171,2020-07-27,15,2 wk ahead inc death,point,,2020-08-08,6.7848
4172,2020-07-27,16,2 wk ahead inc death,point,,2020-08-08,94.7568
4173,2020-07-27,17,2 wk ahead inc death,point,,2020-08-08,76.9178
4174,2020-07-27,18,2 wk ahead inc death,point,,2020-08-08,58.3324
4175,2020-07-27,19,2 wk ahead inc death,point,,2020-08-08,23.1086
4176,2020-07-27,20,2 wk ahead inc death,point,,2020-08-08,28.2562
4177,2020-07-27,21,2 wk ahead inc death,point,,2020-08-08,56.894
4178,2020-07-27,22,2 wk ahead inc death,point,,2020-08-08,302.2886
4179,2020-07-27,23,2 wk ahead inc death,point,,2020-08-08,3.4386
4180,2020-07-27,24,2 wk ahead inc death,point,,2020-08-08,40.0862
4181,2020-07-27,25,2 wk ahead inc death,point,,2020-08-08,68.6222
4182,2020-07-27,26,2 wk ahead inc death,point,,2020-08-08,44.7256
4183,2020-07-27,27,2 wk ahead inc death,point,,2020-08-08,16.7078
4184,2020-07-27,28,2 wk ahead inc death,point,,2020-08-08,165.2038
4185,2020-07-27,29,2 wk ahead inc death,point,,2020-08-08,69.2864
4186,2020-07-27,30,2 wk ahead inc death,point,,2020-08-08,24.5218
4187,2020-07-27,31,2 wk ahead inc death,point,,2020-08-08,15.193
4188,2020-07-27,32,2 wk ahead inc death,point,,2020-08-08,132.922
4189,2020-07-27,33,2 wk ahead inc death,point,,2020-08-08,7.1994
4190,2020-07-27,34,2 wk ahead inc death,point,,2020-08-08,170.4026
4191,2020-07-27,35,2 wk ahead inc death,point,,2020-08-08,31.4756
4192,2020-07-27,36,2 wk ahead inc death,point,,2020-08-08,146.217
4193,2020-07-27,37,2 wk ahead inc death,point,,2020-08-08,210.2982
4194,2020-07-27,38,2 wk ahead inc death,point,,2020-08-08,6.086
4195,2020-07-27,39,2 wk ahead inc death,point,,2020-08-08,133.7704
4196,2020-07-27,40,2 wk ahead inc death,point,,2020-08-08,78.7718
4197,2020-07-27,41,2 wk ahead inc death,point,,2020-08-08,48.7112
4198,2020-07-27,42,2 wk ahead inc death,point,,2020-08-08,87.2184
4199,2020-07-27,44,2 wk ahead inc death,point,,2020-08-08,5.3556
4200,2020-07-27,45,2 wk ahead inc death,point,,2020-08-08,590.6372
4201,2020-07-27,46,2 wk ahead inc death,point,,2020-08-08,12.2666
4202,2020-07-27,47,2 wk ahead inc death,point,,2020-08-08,267.6208
4203,2020-07-27,48,2 wk ahead inc death,point,,2020-08-08,2529.1244
4204,2020-07-27,49,2 wk ahead inc death,point,,2020-08-08,49.7848
4205,2020-07-27,50,2 wk ahead inc death,point,,2020-08-08,0.545
4206,2020-07-27,51,2 wk ahead inc death,point,,2020-08-08,54.9394
4207,2020-07-27,53,2 wk ahead inc death,point,,2020-08-08,75.9012
4208,2020-07-27,54,2 wk ahead inc death,point,,2020-08-08,2.778
4209,2020-07-27,55,2 wk ahead inc death,point,,2020-08-08,35.9184
4210,2020-07-27,56,2 wk ahead inc death,point,,2020-08-08,2.2496
4211,2020-07-27,US,2 wk ahead inc death,point,,2020-08-08,11144.256000000001
5408,2020-07-27,01,2 wk ahead inc case,point,,2020-08-08,8942.1686
5409,2020-07-27,02,2 wk ahead inc case,point,,2020-08-08,393.8324
5410,2020-07-27,04,2 wk ahead inc case,point,,2020-08-08,16134.2156
5411,2020-07-27,05,2 wk ahead inc case,point,,2020-08-08,3622.2772
5412,2020-07-27,06,2 wk ahead inc case,point,,2020-08-08,38198.9538
5413,2020-07-27,08,2 wk ahead inc case,point,,2020-08-08,2635.792
