,location,target,type,quantile,forecast_date,target_end_date,value
5469,38,2 wk ahead cum death,point,,2020-06-21,2020-07-04,83.52060089
5470,38,3 wk ahead cum death,point,,2020-06-21,2020-07-11,86.36360173
5471,38,4 wk ahead cum death,point,,2020-06-21,2020-07-18,88.61159152
5564,38,1 wk ahead inc death,point,,2020-06-21,2020-06-27,4.150670054
5565,38,2 wk ahead inc death,point,,2020-06-21,2020-07-04,3.369930835
5566,38,3 wk ahead inc death,point,,2020-06-21,2020-07-11,2.8430008389999997
5567,38,4 wk ahead inc death,point,,2020-06-21,2020-07-18,2.247989796
5660,31,1 wk ahead cum death,point,,2020-06-21,2020-06-27,270.7638513
5661,31,2 wk ahead cum death,point,,2020-06-21,2020-07-04,301.5065088
5662,31,3 wk ahead cum death,point,,2020-06-21,2020-07-11,328.998496
5663,31,4 wk ahead cum death,point,,2020-06-21,2020-07-18,352.5190924
5756,31,1 wk ahead inc death,point,,2020-06-21,2020-06-27,26.76385126
5757,31,2 wk ahead inc death,point,,2020-06-21,2020-07-04,30.74265754
5758,31,3 wk ahead inc death,point,,2020-06-21,2020-07-11,27.49198715
5759,31,4 wk ahead inc death,point,,2020-06-21,2020-07-18,23.52059642
5852,33,1 wk ahead cum death,point,,2020-06-21,2020-06-27,354.191748
5853,33,2 wk ahead cum death,point,,2020-06-21,2020-07-04,367.7200807
5854,33,3 wk ahead cum death,point,,2020-06-21,2020-07-11,377.6954032
5855,33,4 wk ahead cum death,point,,2020-06-21,2020-07-18,384.85388639999996
5948,33,1 wk ahead inc death,point,,2020-06-21,2020-06-27,15.19174797
5949,33,2 wk ahead inc death,point,,2020-06-21,2020-07-04,13.52833274
5950,33,3 wk ahead inc death,point,,2020-06-21,2020-07-11,9.97532246
5951,33,4 wk ahead inc death,point,,2020-06-21,2020-07-18,7.158483215
6044,34,1 wk ahead cum death,point,,2020-06-21,2020-06-27,13129.618999999999
6045,34,2 wk ahead cum death,point,,2020-06-21,2020-07-04,13305.55149
6046,34,3 wk ahead cum death,point,,2020-06-21,2020-07-11,13438.30172
6047,34,4 wk ahead cum death,point,,2020-06-21,2020-07-18,13541.03646
6140,34,1 wk ahead inc death,point,,2020-06-21,2020-06-27,205.6189987
6141,34,2 wk ahead inc death,point,,2020-06-21,2020-07-04,175.9324882
6142,34,3 wk ahead inc death,point,,2020-06-21,2020-07-11,132.7502345
6143,34,4 wk ahead inc death,point,,2020-06-21,2020-07-18,102.7347413
6236,35,1 wk ahead cum death,point,,2020-06-21,2020-06-27,495.80595989999995
6237,35,2 wk ahead cum death,point,,2020-06-21,2020-07-04,525.8357361000002
6238,35,3 wk ahead cum death,point,,2020-06-21,2020-07-11,552.422904
6239,35,4 wk ahead cum death,point,,2020-06-21,2020-07-18,575.4878698
6332,35,1 wk ahead inc death,point,,2020-06-21,2020-06-27,29.80595989
6333,35,2 wk ahead inc death,point,,2020-06-21,2020-07-04,30.02977617
6334,35,3 wk ahead inc death,point,,2020-06-21,2020-07-11,26.58716798
6335,35,4 wk ahead inc death,point,,2020-06-21,2020-07-18,23.06496578
6428,32,1 wk ahead cum death,point,,2020-06-21,2020-06-27,522.8530268999998
6429,32,2 wk ahead cum death,point,,2020-06-21,2020-07-04,574.3852287000002
6430,32,3 wk ahead cum death,point,,2020-06-21,2020-07-11,636.7903153
6431,32,4 wk ahead cum death,point,,2020-06-21,2020-07-18,712.4725235000003
6524,32,1 wk ahead inc death,point,,2020-06-21,2020-06-27,36.85302694
6525,32,2 wk ahead inc death,point,,2020-06-21,2020-07-04,51.53220177
6526,32,3 wk ahead inc death,point,,2020-06-21,2020-07-11,62.40508654
6527,32,4 wk ahead inc death,point,,2020-06-21,2020-07-18,75.68220821
6620,36,1 wk ahead cum death,point,,2020-06-21,2020-06-27,31357.614639999996
6621,36,2 wk ahead cum death,point,,2020-06-21,2020-07-04,31584.51054
6622,36,3 wk ahead cum death,point,,2020-06-21,2020-07-11,31769.15553
6623,36,4 wk ahead cum death,point,,2020-06-21,2020-07-18,31923.75601
6716,36,1 wk ahead inc death,point,,2020-06-21,2020-06-27,274.6146354
6717,36,2 wk ahead inc death,point,,2020-06-21,2020-07-04,226.89590570000001
6718,36,3 wk ahead inc death,point,,2020-06-21,2020-07-11,184.64498940000001
6719,36,4 wk ahead inc death,point,,2020-06-21,2020-07-18,154.6004829
6812,39,1 wk ahead cum death,point,,2020-06-21,2020-06-27,2863.1285199999998
6813,39,2 wk ahead cum death,point,,2020-06-21,2020-07-04,3079.091046
6814,39,3 wk ahead cum death,point,,2020-06-21,2020-07-11,3318.1136899999997
6815,39,4 wk ahead cum death,point,,2020-06-21,2020-07-18,3593.822848
6908,39,1 wk ahead inc death,point,,2020-06-21,2020-06-27,166.12852030000005
6909,39,2 wk ahead inc death,point,,2020-06-21,2020-07-04,215.96252540000003
6910,39,3 wk ahead inc death,point,,2020-06-21,2020-07-11,239.0226441
6911,39,4 wk ahead inc death,point,,2020-06-21,2020-07-18,275.7091579
7004,40,1 wk ahead cum death,point,,2020-06-21,2020-06-27,382.2576978
7005,40,2 wk ahead cum death,point,,2020-06-21,2020-07-04,401.0492203
7006,40,3 wk ahead cum death,point,,2020-06-21,2020-07-11,422.23846399999996
7007,40,4 wk ahead cum death,point,,2020-06-21,2020-07-18,446.51160360000006
7100,40,1 wk ahead inc death,point,,2020-06-21,2020-06-27,14.25769779
7101,40,2 wk ahead inc death,point,,2020-06-21,2020-07-04,18.79152249
7102,40,3 wk ahead inc death,point,,2020-06-21,2020-07-11,21.18924374
7103,40,4 wk ahead inc death,point,,2020-06-21,2020-07-18,24.27313956
7196,41,1 wk ahead cum death,point,,2020-06-21,2020-06-27,204.994439
7197,41,2 wk ahead cum death,point,,2020-06-21,2020-07-04,230.2782961
7198,41,3 wk ahead cum death,point,,2020-06-21,2020-07-11,262.7333734
7199,41,4 wk ahead cum death,point,,2020-06-21,2020-07-18,302.7790843
7292,41,1 wk ahead inc death,point,,2020-06-21,2020-06-27,16.994439
7293,41,2 wk ahead inc death,point,,2020-06-21,2020-07-04,25.283857100000002
7294,41,3 wk ahead inc death,point,,2020-06-21,2020-07-11,32.45507733
7295,41,4 wk ahead inc death,point,,2020-06-21,2020-07-18,40.04571082
