forecast_date,target,target_end_date,quantile,type,location,value
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1095,342.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1095,242.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1095,176.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1095,141.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1097,1477.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1097,1561.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1097,1626.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1097,1448.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1099,95.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1099,84.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1099,71.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1099,51.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1101,734.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1101,721.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1101,685.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1101,580.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1103,603.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1103,546.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1103,505.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1103,486.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1105,53.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1105,59.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1105,54.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1105,36.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1107,96.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1107,97.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1107,87.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1107,61.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1109,114.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1109,102.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1109,91.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1109,76.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1111,41.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1111,40.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1111,36.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1111,28.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1113,163.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1113,161.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1113,155.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1113,130.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1115,338.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1115,305.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1115,265.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1115,208.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1117,881.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1117,792.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1117,658.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1117,494.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1119,55.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1119,47.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1119,31.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1119,20.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1121,249.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1121,219.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1121,190.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1121,153.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1123,91.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1123,86.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1123,75.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1123,57.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1125,1129.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1125,1212.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1125,1143.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1125,900.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1127,254.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1127,225.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1127,206.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1127,179.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1129,53.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1129,62.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1129,67.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1129,60.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1131,36.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1131,36.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1131,32.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1131,24.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1133,102.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1133,89.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1133,67.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1133,47.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4001,279.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4001,235.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4001,204.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4001,175.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4003,711.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4003,637.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4003,494.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4003,281.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4005,590.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4005,500.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4005,407.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4005,328.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4007,250.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4007,225.0
