forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,7 wk ahead cum death,2021-02-06,,point,10,1290.9262811298545
2020-12-21,8 wk ahead cum death,2021-02-13,,point,10,1400.3153818070139
2020-12-21,1 wk ahead inc death,2020-12-26,,point,11,35.97783043584627
2020-12-21,2 wk ahead inc death,2021-01-02,,point,11,57.87942455383924
2020-12-21,3 wk ahead inc death,2021-01-09,,point,11,93.1136687815893
2020-12-21,4 wk ahead inc death,2021-01-16,,point,11,149.79684716634608
2020-12-21,5 wk ahead inc death,2021-01-23,,point,11,240.98605193628026
2020-12-21,6 wk ahead inc death,2021-01-30,,point,11,387.6869128183002
2020-12-21,7 wk ahead inc death,2021-02-06,,point,11,623.6922890886892
2020-12-21,8 wk ahead inc death,2021-02-13,,point,11,1003.366527492253
2020-12-21,1 wk ahead cum death,2020-12-26,,point,11,765.9778304358463
2020-12-21,2 wk ahead cum death,2021-01-02,,point,11,823.8572549896855
2020-12-21,3 wk ahead cum death,2021-01-09,,point,11,916.9709237712747
2020-12-21,4 wk ahead cum death,2021-01-16,,point,11,1066.767770937621
2020-12-21,5 wk ahead cum death,2021-01-23,,point,11,1307.7538228739013
2020-12-21,6 wk ahead cum death,2021-01-30,,point,11,1695.4407356922015
2020-12-21,7 wk ahead cum death,2021-02-06,,point,11,2319.1330247808905
2020-12-21,8 wk ahead cum death,2021-02-13,,point,11,3322.4995522731433
2020-12-21,1 wk ahead inc death,2020-12-26,,point,12,645.7258563374334
2020-12-21,2 wk ahead inc death,2021-01-02,,point,12,582.7985856411292
2020-12-21,3 wk ahead inc death,2021-01-09,,point,12,526.0037027970724
2020-12-21,4 wk ahead inc death,2021-01-16,,point,12,474.7435943960965
2020-12-21,5 wk ahead inc death,2021-01-23,,point,12,428.47888564593575
2020-12-21,6 wk ahead inc death,2021-01-30,,point,12,386.722764902022
2020-12-21,7 wk ahead inc death,2021-02-06,,point,12,349.0358612840635
2020-12-21,8 wk ahead inc death,2021-02-13,,point,12,315.0216214790794
2020-12-21,1 wk ahead cum death,2020-12-26,,point,12,21118.725856337438
2020-12-21,2 wk ahead cum death,2021-01-02,,point,12,21701.524441978563
2020-12-21,3 wk ahead cum death,2021-01-09,,point,12,22227.528144775635
2020-12-21,4 wk ahead cum death,2021-01-16,,point,12,22702.271739171734
2020-12-21,5 wk ahead cum death,2021-01-23,,point,12,23130.750624817665
2020-12-21,6 wk ahead cum death,2021-01-30,,point,12,23517.473389719693
2020-12-21,7 wk ahead cum death,2021-02-06,,point,12,23866.509251003754
2020-12-21,8 wk ahead cum death,2021-02-13,,point,12,24181.530872482832
2020-12-21,1 wk ahead inc death,2020-12-26,,point,13,347.8105907648909
2020-12-21,2 wk ahead inc death,2021-01-02,,point,13,359.71195938564074
2020-12-21,3 wk ahead inc death,2021-01-09,,point,13,372.0205685528484
2020-12-21,4 wk ahead inc death,2021-01-16,,point,13,384.7503532069368
2020-12-21,5 wk ahead inc death,2021-01-23,,point,13,397.9157251135522
2020-12-21,6 wk ahead inc death,2021-01-30,,point,13,411.53158917955045
2020-12-21,7 wk ahead inc death,2021-02-06,,point,13,425.61336032728286
2020-12-21,8 wk ahead inc death,2021-02-13,,point,13,440.1769809462852
2020-12-21,1 wk ahead cum death,2020-12-26,,point,13,10728.810590764893
2020-12-21,2 wk ahead cum death,2021-01-02,,point,13,11088.522550150532
2020-12-21,3 wk ahead cum death,2021-01-09,,point,13,11460.54311870338
2020-12-21,4 wk ahead cum death,2021-01-16,,point,13,11845.293471910318
2020-12-21,5 wk ahead cum death,2021-01-23,,point,13,12243.209197023867
2020-12-21,6 wk ahead cum death,2021-01-30,,point,13,12654.74078620342
2020-12-21,7 wk ahead cum death,2021-02-06,,point,13,13080.354146530703
2020-12-21,8 wk ahead cum death,2021-02-13,,point,13,13520.531127476987
2020-12-21,1 wk ahead inc death,2020-12-26,,point,66,8.900497933990295
2020-12-21,2 wk ahead inc death,2021-01-02,,point,66,9.158529915583
2020-12-21,3 wk ahead inc death,2021-01-09,,point,66,9.424042434109527
2020-12-21,4 wk ahead inc death,2021-01-16,,point,66,9.69725235583768
2020-12-21,5 wk ahead inc death,2021-01-23,,point,66,9.978382834147846
2020-12-21,6 wk ahead inc death,2021-01-30,,point,66,10.267663491801061
2020-12-21,7 wk ahead inc death,2021-02-06,,point,66,10.565330608491095
2020-12-21,8 wk ahead inc death,2021-02-13,,point,66,10.871627313833828
2020-12-21,1 wk ahead cum death,2020-12-26,,point,66,127.9004979339903
2020-12-21,2 wk ahead cum death,2021-01-02,,point,66,137.05902784957328
2020-12-21,3 wk ahead cum death,2021-01-09,,point,66,146.4830702836828
2020-12-21,4 wk ahead cum death,2021-01-16,,point,66,156.18032263952048
2020-12-21,5 wk ahead cum death,2021-01-23,,point,66,166.15870547366836
2020-12-21,6 wk ahead cum death,2021-01-30,,point,66,176.4263689654694
2020-12-21,7 wk ahead cum death,2021-02-06,,point,66,186.9916995739605
2020-12-21,8 wk ahead cum death,2021-02-13,,point,66,197.86332688779441
2020-12-21,1 wk ahead inc death,2020-12-26,,point,15,14.758906996242715
2020-12-21,2 wk ahead inc death,2021-01-02,,point,15,16.867950195118162
2020-12-21,3 wk ahead inc death,2021-01-09,,point,15,19.278375008218482
