location,type,quantile,value,target_end_date,forecast_date,target
35,point,,800,2021-05-29,2021-05-10,3 wk ahead inc case
35,point,,29,2021-05-29,2021-05-10,3 wk ahead inc death
35,point,,758,2021-06-05,2021-05-10,4 wk ahead inc case
35,point,,28,2021-06-05,2021-05-10,4 wk ahead inc death
36,point,,15267,2021-05-15,2021-05-10,1 wk ahead inc case
36,point,,307,2021-05-15,2021-05-10,1 wk ahead inc death
36,point,,12722,2021-05-22,2021-05-10,2 wk ahead inc case
36,point,,303,2021-05-22,2021-05-10,2 wk ahead inc death
36,point,,10525,2021-05-29,2021-05-10,3 wk ahead inc case
36,point,,297,2021-05-29,2021-05-10,3 wk ahead inc death
36,point,,8724,2021-06-05,2021-05-10,4 wk ahead inc case
36,point,,295,2021-06-05,2021-05-10,4 wk ahead inc death
37,point,,9977,2021-05-15,2021-05-10,1 wk ahead inc case
37,point,,128,2021-05-15,2021-05-10,1 wk ahead inc death
37,point,,10411,2021-05-22,2021-05-10,2 wk ahead inc case
37,point,,130,2021-05-22,2021-05-10,2 wk ahead inc death
37,point,,9788,2021-05-29,2021-05-10,3 wk ahead inc case
37,point,,133,2021-05-29,2021-05-10,3 wk ahead inc death
37,point,,9775,2021-06-05,2021-05-10,4 wk ahead inc case
37,point,,134,2021-06-05,2021-05-10,4 wk ahead inc death
38,point,,699,2021-05-15,2021-05-10,1 wk ahead inc case
38,point,,4,2021-05-15,2021-05-10,1 wk ahead inc death
38,point,,658,2021-05-22,2021-05-10,2 wk ahead inc case
38,point,,4,2021-05-22,2021-05-10,2 wk ahead inc death
38,point,,604,2021-05-29,2021-05-10,3 wk ahead inc case
38,point,,3,2021-05-29,2021-05-10,3 wk ahead inc death
38,point,,557,2021-06-05,2021-05-10,4 wk ahead inc case
38,point,,3,2021-06-05,2021-05-10,4 wk ahead inc death
39,point,,8034,2021-05-15,2021-05-10,1 wk ahead inc case
39,point,,0,2021-05-15,2021-05-10,1 wk ahead inc death
39,point,,7444,2021-05-22,2021-05-10,2 wk ahead inc case
39,point,,0,2021-05-22,2021-05-10,2 wk ahead inc death
39,point,,6837,2021-05-29,2021-05-10,3 wk ahead inc case
39,point,,0,2021-05-29,2021-05-10,3 wk ahead inc death
39,point,,6246,2021-06-05,2021-05-10,4 wk ahead inc case
39,point,,0,2021-06-05,2021-05-10,4 wk ahead inc death
40,point,,273,2021-05-15,2021-05-10,1 wk ahead inc case
40,point,,0,2021-05-15,2021-05-10,1 wk ahead inc death
40,point,,56,2021-05-22,2021-05-10,2 wk ahead inc case
40,point,,0,2021-05-22,2021-05-10,2 wk ahead inc death
40,point,,0,2021-05-29,2021-05-10,3 wk ahead inc case
40,point,,0,2021-05-29,2021-05-10,3 wk ahead inc death
40,point,,0,2021-06-05,2021-05-10,4 wk ahead inc case
40,point,,0,2021-06-05,2021-05-10,4 wk ahead inc death
41,point,,5124,2021-05-15,2021-05-10,1 wk ahead inc case
41,point,,32,2021-05-15,2021-05-10,1 wk ahead inc death
41,point,,5346,2021-05-22,2021-05-10,2 wk ahead inc case
41,point,,33,2021-05-22,2021-05-10,2 wk ahead inc death
41,point,,5492,2021-05-29,2021-05-10,3 wk ahead inc case
41,point,,32,2021-05-29,2021-05-10,3 wk ahead inc death
41,point,,5601,2021-06-05,2021-05-10,4 wk ahead inc case
41,point,,32,2021-06-05,2021-05-10,4 wk ahead inc death
42,point,,12206,2021-05-15,2021-05-10,1 wk ahead inc case
42,point,,277,2021-05-15,2021-05-10,1 wk ahead inc death
42,point,,10679,2021-05-22,2021-05-10,2 wk ahead inc case
42,point,,283,2021-05-22,2021-05-10,2 wk ahead inc death
42,point,,10404,2021-05-29,2021-05-10,3 wk ahead inc case
42,point,,286,2021-05-29,2021-05-10,3 wk ahead inc death
42,point,,10459,2021-06-05,2021-05-10,4 wk ahead inc case
42,point,,287,2021-06-05,2021-05-10,4 wk ahead inc death
44,point,,1276,2021-05-15,2021-05-10,1 wk ahead inc case
44,point,,12,2021-05-15,2021-05-10,1 wk ahead inc death
44,point,,1103,2021-05-22,2021-05-10,2 wk ahead inc case
44,point,,12,2021-05-22,2021-05-10,2 wk ahead inc death
44,point,,918,2021-05-29,2021-05-10,3 wk ahead inc case
44,point,,11,2021-05-29,2021-05-10,3 wk ahead inc death
44,point,,751,2021-06-05,2021-05-10,4 wk ahead inc case
44,point,,11,2021-06-05,2021-05-10,4 wk ahead inc death
45,point,,3729,2021-05-15,2021-05-10,1 wk ahead inc case
45,point,,82,2021-05-15,2021-05-10,1 wk ahead inc death
45,point,,3317,2021-05-22,2021-05-10,2 wk ahead inc case
45,point,,84,2021-05-22,2021-05-10,2 wk ahead inc death
45,point,,2931,2021-05-29,2021-05-10,3 wk ahead inc case
45,point,,83,2021-05-29,2021-05-10,3 wk ahead inc death
45,point,,2630,2021-06-05,2021-05-10,4 wk ahead inc case
45,point,,82,2021-06-05,2021-05-10,4 wk ahead inc death
46,point,,350,2021-05-15,2021-05-10,1 wk ahead inc case
46,point,,12,2021-05-15,2021-05-10,1 wk ahead inc death
46,point,,223,2021-05-22,2021-05-10,2 wk ahead inc case
46,point,,14,2021-05-22,2021-05-10,2 wk ahead inc death
46,point,,142,2021-05-29,2021-05-10,3 wk ahead inc case
46,point,,14,2021-05-29,2021-05-10,3 wk ahead inc death
46,point,,79,2021-06-05,2021-05-10,4 wk ahead inc case
46,point,,15,2021-06-05,2021-05-10,4 wk ahead inc death
47,point,,4473,2021-05-15,2021-05-10,1 wk ahead inc case
47,point,,52,2021-05-15,2021-05-10,1 wk ahead inc death
47,point,,4325,2021-05-22,2021-05-10,2 wk ahead inc case
47,point,,54,2021-05-22,2021-05-10,2 wk ahead inc death
47,point,,4245,2021-05-29,2021-05-10,3 wk ahead inc case
47,point,,54,2021-05-29,2021-05-10,3 wk ahead inc death
47,point,,4283,2021-06-05,2021-05-10,4 wk ahead inc case
47,point,,56,2021-06-05,2021-05-10,4 wk ahead inc death
48,point,,16488,2021-05-15,2021-05-10,1 wk ahead inc case
48,point,,306,2021-05-15,2021-05-10,1 wk ahead inc death
48,point,,15645,2021-05-22,2021-05-10,2 wk ahead inc case
48,point,,278,2021-05-22,2021-05-10,2 wk ahead inc death
48,point,,14851,2021-05-29,2021-05-10,3 wk ahead inc case
48,point,,258,2021-05-29,2021-05-10,3 wk ahead inc death
48,point,,14901,2021-06-05,2021-05-10,4 wk ahead inc case
48,point,,238,2021-06-05,2021-05-10,4 wk ahead inc death
49,point,,2224,2021-05-15,2021-05-10,1 wk ahead inc case
49,point,,18,2021-05-15,2021-05-10,1 wk ahead inc death
49,point,,2164,2021-05-22,2021-05-10,2 wk ahead inc case
49,point,,17,2021-05-22,2021-05-10,2 wk ahead inc death
49,point,,2057,2021-05-29,2021-05-10,3 wk ahead inc case
49,point,,18,2021-05-29,2021-05-10,3 wk ahead inc death
49,point,,1992,2021-06-05,2021-05-10,4 wk ahead inc case
49,point,,18,2021-06-05,2021-05-10,4 wk ahead inc death
50,point,,321,2021-05-15,2021-05-10,1 wk ahead inc case
50,point,,2,2021-05-15,2021-05-10,1 wk ahead inc death
50,point,,297,2021-05-22,2021-05-10,2 wk ahead inc case
50,point,,2,2021-05-22,2021-05-10,2 wk ahead inc death
50,point,,272,2021-05-29,2021-05-10,3 wk ahead inc case
50,point,,2,2021-05-29,2021-05-10,3 wk ahead inc death
50,point,,258,2021-06-05,2021-05-10,4 wk ahead inc case
50,point,,2,2021-06-05,2021-05-10,4 wk ahead inc death
51,point,,4977,2021-05-15,2021-05-10,1 wk ahead inc case
51,point,,105,2021-05-15,2021-05-10,1 wk ahead inc death
51,point,,4810,2021-05-22,2021-05-10,2 wk ahead inc case
51,point,,98,2021-05-22,2021-05-10,2 wk ahead inc death
51,point,,4771,2021-05-29,2021-05-10,3 wk ahead inc case
51,point,,90,2021-05-29,2021-05-10,3 wk ahead inc death
51,point,,4846,2021-06-05,2021-05-10,4 wk ahead inc case
51,point,,81,2021-06-05,2021-05-10,4 wk ahead inc death
53,point,,8873,2021-05-15,2021-05-10,1 wk ahead inc case
53,point,,66,2021-05-15,2021-05-10,1 wk ahead inc death
53,point,,8945,2021-05-22,2021-05-10,2 wk ahead inc case
53,point,,69,2021-05-22,2021-05-10,2 wk ahead inc death
53,point,,9038,2021-05-29,2021-05-10,3 wk ahead inc case
53,point,,69,2021-05-29,2021-05-10,3 wk ahead inc death
53,point,,9018,2021-06-05,2021-05-10,4 wk ahead inc case
53,point,,70,2021-06-05,2021-05-10,4 wk ahead inc death
54,point,,2476,2021-05-15,2021-05-10,1 wk ahead inc case
54,point,,40,2021-05-15,2021-05-10,1 wk ahead inc death
54,point,,2425,2021-05-22,2021-05-10,2 wk ahead inc case
54,point,,45,2021-05-22,2021-05-10,2 wk ahead inc death
54,point,,2401,2021-05-29,2021-05-10,3 wk ahead inc case
54,point,,44,2021-05-29,2021-05-10,3 wk ahead inc death
54,point,,2382,2021-06-05,2021-05-10,4 wk ahead inc case
54,point,,47,2021-06-05,2021-05-10,4 wk ahead inc death
55,point,,3370,2021-05-15,2021-05-10,1 wk ahead inc case
55,point,,86,2021-05-15,2021-05-10,1 wk ahead inc death
55,point,,2904,2021-05-22,2021-05-10,2 wk ahead inc case
