location,forecast_date,value,target_end_date,target,type,quantile
6083,2020-08-05,2027,2020-08-22,2 wk ahead inc case,point,
6085,2020-08-05,3360,2020-08-22,2 wk ahead inc case,point,
6087,2020-08-05,357,2020-08-22,2 wk ahead inc case,point,
6089,2020-08-05,233,2020-08-22,2 wk ahead inc case,point,
6091,2020-08-05,9,2020-08-22,2 wk ahead inc case,point,
6093,2020-08-05,89,2020-08-22,2 wk ahead inc case,point,
6095,2020-08-05,1264,2020-08-22,2 wk ahead inc case,point,
6097,2020-08-05,1237,2020-08-22,2 wk ahead inc case,point,
6099,2020-08-05,1636,2020-08-22,2 wk ahead inc case,point,
6101,2020-08-05,355,2020-08-22,2 wk ahead inc case,point,
6103,2020-08-05,292,2020-08-22,2 wk ahead inc case,point,
6105,2020-08-05,8,2020-08-22,2 wk ahead inc case,point,
6107,2020-08-05,3295,2020-08-22,2 wk ahead inc case,point,
6109,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
6111,2020-08-05,2054,2020-08-22,2 wk ahead inc case,point,
6113,2020-08-05,556,2020-08-22,2 wk ahead inc case,point,
6115,2020-08-05,320,2020-08-22,2 wk ahead inc case,point,
8003,2020-08-05,20,2020-08-22,2 wk ahead inc case,point,
8005,2020-08-05,1207,2020-08-22,2 wk ahead inc case,point,
8007,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8009,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
8011,2020-08-05,9,2020-08-22,2 wk ahead inc case,point,
8015,2020-08-05,92,2020-08-22,2 wk ahead inc case,point,
8017,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8019,2020-08-05,22,2020-08-22,2 wk ahead inc case,point,
8021,2020-08-05,2,2020-08-22,2 wk ahead inc case,point,
8023,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
8025,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8027,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
8029,2020-08-05,121,2020-08-22,2 wk ahead inc case,point,
8031,2020-08-05,1468,2020-08-22,2 wk ahead inc case,point,
8033,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8035,2020-08-05,280,2020-08-22,2 wk ahead inc case,point,
8037,2020-08-05,296,2020-08-22,2 wk ahead inc case,point,
8039,2020-08-05,22,2020-08-22,2 wk ahead inc case,point,
8041,2020-08-05,1025,2020-08-22,2 wk ahead inc case,point,
8043,2020-08-05,32,2020-08-22,2 wk ahead inc case,point,
8045,2020-08-05,273,2020-08-22,2 wk ahead inc case,point,
8047,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8049,2020-08-05,10,2020-08-22,2 wk ahead inc case,point,
8051,2020-08-05,59,2020-08-22,2 wk ahead inc case,point,
8053,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8055,2020-08-05,2,2020-08-22,2 wk ahead inc case,point,
8057,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8061,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8063,2020-08-05,10,2020-08-22,2 wk ahead inc case,point,
8065,2020-08-05,31,2020-08-22,2 wk ahead inc case,point,
8067,2020-08-05,33,2020-08-22,2 wk ahead inc case,point,
8069,2020-08-05,346,2020-08-22,2 wk ahead inc case,point,
8071,2020-08-05,9,2020-08-22,2 wk ahead inc case,point,
8073,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8075,2020-08-05,10,2020-08-22,2 wk ahead inc case,point,
8077,2020-08-05,109,2020-08-22,2 wk ahead inc case,point,
8079,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
8081,2020-08-05,9,2020-08-22,2 wk ahead inc case,point,
8083,2020-08-05,71,2020-08-22,2 wk ahead inc case,point,
8085,2020-08-05,199,2020-08-22,2 wk ahead inc case,point,
8087,2020-08-05,19,2020-08-22,2 wk ahead inc case,point,
8089,2020-08-05,70,2020-08-22,2 wk ahead inc case,point,
8091,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
8093,2020-08-05,30,2020-08-22,2 wk ahead inc case,point,
8095,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8097,2020-08-05,35,2020-08-22,2 wk ahead inc case,point,
8099,2020-08-05,26,2020-08-22,2 wk ahead inc case,point,
8101,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8103,2020-08-05,6,2020-08-22,2 wk ahead inc case,point,
8105,2020-08-05,4,2020-08-22,2 wk ahead inc case,point,
8107,2020-08-05,2,2020-08-22,2 wk ahead inc case,point,
8109,2020-08-05,2,2020-08-22,2 wk ahead inc case,point,
8111,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8113,2020-08-05,40,2020-08-22,2 wk ahead inc case,point,
8115,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
8117,2020-08-05,21,2020-08-22,2 wk ahead inc case,point,
8119,2020-08-05,42,2020-08-22,2 wk ahead inc case,point,
8121,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
8125,2020-08-05,9,2020-08-22,2 wk ahead inc case,point,
9001,2020-08-05,626,2020-08-22,2 wk ahead inc case,point,
9003,2020-08-05,592,2020-08-22,2 wk ahead inc case,point,
9005,2020-08-05,85,2020-08-22,2 wk ahead inc case,point,
9007,2020-08-05,90,2020-08-22,2 wk ahead inc case,point,
9009,2020-08-05,561,2020-08-22,2 wk ahead inc case,point,
9011,2020-08-05,109,2020-08-22,2 wk ahead inc case,point,
9013,2020-08-05,81,2020-08-22,2 wk ahead inc case,point,
9015,2020-08-05,75,2020-08-22,2 wk ahead inc case,point,
10001,2020-08-05,219,2020-08-22,2 wk ahead inc case,point,
10003,2020-08-05,865,2020-08-22,2 wk ahead inc case,point,
10005,2020-08-05,468,2020-08-22,2 wk ahead inc case,point,
11001,2020-08-05,961,2020-08-22,2 wk ahead inc case,point,
12001,2020-08-05,1262,2020-08-22,2 wk ahead inc case,point,
12003,2020-08-05,171,2020-08-22,2 wk ahead inc case,point,
12005,2020-08-05,1854,2020-08-22,2 wk ahead inc case,point,
12007,2020-08-05,152,2020-08-22,2 wk ahead inc case,point,
12009,2020-08-05,1710,2020-08-22,2 wk ahead inc case,point,
12011,2020-08-05,16271,2020-08-22,2 wk ahead inc case,point,
12013,2020-08-05,102,2020-08-22,2 wk ahead inc case,point,
12015,2020-08-05,648,2020-08-22,2 wk ahead inc case,point,
12017,2020-08-05,514,2020-08-22,2 wk ahead inc case,point,
12019,2020-08-05,792,2020-08-22,2 wk ahead inc case,point,
12021,2020-08-05,1673,2020-08-22,2 wk ahead inc case,point,
12023,2020-08-05,1435,2020-08-22,2 wk ahead inc case,point,
12027,2020-08-05,228,2020-08-22,2 wk ahead inc case,point,
12029,2020-08-05,67,2020-08-22,2 wk ahead inc case,point,
12031,2020-08-05,3772,2020-08-22,2 wk ahead inc case,point,
12033,2020-08-05,2478,2020-08-22,2 wk ahead inc case,point,
12035,2020-08-05,356,2020-08-22,2 wk ahead inc case,point,
12037,2020-08-05,270,2020-08-22,2 wk ahead inc case,point,
12039,2020-08-05,674,2020-08-22,2 wk ahead inc case,point,
12041,2020-08-05,66,2020-08-22,2 wk ahead inc case,point,
12043,2020-08-05,96,2020-08-22,2 wk ahead inc case,point,
12045,2020-08-05,340,2020-08-22,2 wk ahead inc case,point,
12047,2020-08-05,71,2020-08-22,2 wk ahead inc case,point,
12049,2020-08-05,143,2020-08-22,2 wk ahead inc case,point,
12051,2020-08-05,247,2020-08-22,2 wk ahead inc case,point,
12053,2020-08-05,664,2020-08-22,2 wk ahead inc case,point,
12055,2020-08-05,537,2020-08-22,2 wk ahead inc case,point,
12057,2020-08-05,6559,2020-08-22,2 wk ahead inc case,point,
12059,2020-08-05,117,2020-08-22,2 wk ahead inc case,point,
12061,2020-08-05,701,2020-08-22,2 wk ahead inc case,point,
12063,2020-08-05,618,2020-08-22,2 wk ahead inc case,point,
12065,2020-08-05,467,2020-08-22,2 wk ahead inc case,point,
12067,2020-08-05,37,2020-08-22,2 wk ahead inc case,point,
12069,2020-08-05,1500,2020-08-22,2 wk ahead inc case,point,
12071,2020-08-05,3015,2020-08-22,2 wk ahead inc case,point,
12073,2020-08-05,1459,2020-08-22,2 wk ahead inc case,point,
12075,2020-08-05,217,2020-08-22,2 wk ahead inc case,point,
12077,2020-08-05,97,2020-08-22,2 wk ahead inc case,point,
